APC,HCPCS Code,Description,Payment Rate
5362,0600T; 0601T; 32604; 32607; 32608; 32994; 38120; 38571; 38572; 38573; 43210; 43280; 43281; 43282; 43284; 43648; 43770; 47370; 47371; 47383; 47554; 47556; 47564; 50541; 50542; 50543; 50544; 50593; 50947; 50948; 55866; 55867; 57423; 57425; 58541; 58542; 58543; 58544; 58546; 58552; 58553; 58554; 58570; 58571; 58572; 58573; 58673; 58674; C9784; C9785,Ire abltj 1+tum organ perq; Ire abltj 1+tumors open; Thoracoscopy wbx sac; Thoracoscopy w/bx infiltrate; Thoracoscopy w/bx nodule; Ablate pulm tumor perq crybl; Laparoscopy splenectomy; Laparoscopy lymphadenectomy; Laparoscopy lymphadenectomy; Laps pelvic lymphadec; Egd esophagogastrc fndoplsty; Laparoscopy fundoplasty; Lap paraesophag hern repair; Lap paraesoph her rpr w/mesh; Laps esophgl sphnctr agmntj; Lap revise/remv eltrd antrum; Lap place gastr adj device; Laparo ablate liver tumor rf; Laparo ablate liver cryosurg; Perq abltj lvr cryoablation; Biliary endoscopy thru skin; Biliary endoscopy thru skin; Laparo cholecystectomy/explr; Laparo ablate renal cyst; Laparo ablate renal mass; Laparo partial nephrectomy; Laparoscopy pyeloplasty; Perc cryo ablate renal tum; Laparo new ureter/bladder; Laparo new ureter/bladder; Laps surg prst8ect rpbic rad; Laps surg prst8ect smpl stot; Repair paravag defect lap; Laparoscopy surg colpopexy; Lsh uterus 250 g or less; Lsh w/t/o ut 250 g or less; Lsh uterus above 250 g; Lsh w/t/o uterus above 250 g; Laparo-myomectomy complex; Laparo-vag hyst incl t/o; Laparo-vag hyst complex; Laparo-vag hyst w/t/o compl; Tlh uterus 250 g or less; Tlh w/t/o 250 g or less; Tlh uterus over 250 g; Tlh w/t/o uterus over 250 g; Laparoscopy salpingostomy; Laps abltj uterine fibroids; Endo sleeve gastro w/tube; Endo outlet restrict w/tube,"$9,807.76 "
5371,0864T; 43761; 43762; 43763; 46083; 50391; 51100; 51700; 51705; 51725; 51726; 51785; 53454; 53600; 53621; 53899; 54200; 54220; 54231; 54235; 54250; 54450; 55899,Low ntsty eswt corpus cvrnsm; Reposition gastrostomy tube; Rplc gtube no revj trc; Rplc gtube revj gstrst trc; Incise external hemorrhoid; Instll rx agnt into rnal tub; Drain bladder by needle; Irrigation of bladder; Change of bladder tube; Simple cystometrogram; Complex cystometrogram; Anal/urinary muscle study; Tprnl balo cntnc dev adjmt; Dilate urethra stricture; Dilate urethra stricture; Unlisted px urinary system; Treatment of penis lesion; Treatment of penis lesion; Dynamic cavernosometry; Penile injection; Penis study; Preputial stretching; Unlisted px male genital sys,$235.48 
5372,0596T; 0597T; 50389; 50396; 50430; 50431; 50572; 51710; 51720; 51727; 51728; 51729; 52000; 52010; 52285; 53080; 53620; 54160,Temp fml iu vlv-pmp 1st insj; Temp fml iu valve-pmp rplcmt; Remove renal tube w/fluoro; Measure kidney pressure; Njx px nfrosgrm &/urtrgrm; Njx px nfrosgrm &/urtrgrm; Kidney endoscopy; Change of bladder tube; Treatment of bladder lesion; Cystometrogram w/up; Cystometrogram w/vp; Cystometrogram w/vp&up; Cystoscopy; Cystoscopy & duct catheter; Cystoscopy and treatment; Drainage of urinary leakage; Dilate urethra stricture; Circumcision neonate,$650.86 
5373,50020; 50382; 50384; 50385; 50386; 50387; 50432; 50434; 50435; 50688; 51040; 51045; 51060; 51102; 52005; 52204; 52260; 52265; 52270; 52275; 52276; 52281; 52283; 52287; 52290; 52310; 52315; 53000; 53020; 53025; 53060; 53085; 53200; 53265; 53665; 53855; 53860; 54001; 54150; 54161; 54162; 54163; 54164; 54380; 54385; 54560; 54700; 54840; 54900; 55120; 55250; 55600; 55700; 74485,Renal abscess open drain; Change ureter stent percut; Remove ureter stent percut; Change stent via transureth; Remove stent via transureth; Change nephroureteral cath; Plmt nephrostomy catheter; Convert nephrostomy catheter; Exchange nephrostomy cath; Change of ureter tube/stent; Incise & drain bladder; Incise bladder/drain ureter; Removal of ureter stone; Drain bl w/cath insertion; Cystoscopy & ureter catheter; Cystoscopy w/biopsy(s); Cystoscopy and treatment; Cystoscopy and treatment; Cystoscopy & revise urethra; Cystoscopy & revise urethra; Cystoscopy and treatment; Cystoscopy and treatment; Cystoscopy and treatment; Cystoscopy chemodenervation; Cystoscopy and treatment; Cystoscopy and treatment; Cystoscopy and treatment; Incision of urethra; Incision of urethra; Incision of urethra; Drainage of urethra abscess; Drainage of urinary leakage; Biopsy of urethra; Treatment of urethra lesion; Dilation of urethra; Insert prost urethral stent; Transurethral rf treatment; Slitting of prepuce; Circumcision w/regionl block; Circum 28 days or older; Lysis penil circumic lesion; Repair of circumcision; Frenulotomy of penis; Repair penis; Repair penis; Exploration for testis; Drainage of scrotum; Remove epididymis lesion; Fusion of spermatic ducts; Removal of scrotum lesion; Removal of sperm duct(s); Incise sperm duct pouch; Biopsy of prostate; Dilation urtr/urt rs&i,"$1,940.66 "
5374,0655T; 37790; 50433; 50436; 50437; 50570; 50574; 50590; 50693; 50694; 50695; 50727; 50951; 50953; 50970; 50972; 51020; 51030; 51065; 51520; 51535; 51715; 51880; 52001; 52007; 52214; 52224; 52234; 52235; 52250; 52277; 52282; 52300; 52301; 52317; 52318; 52320; 52330; 52332; 52334; 52341; 52342; 52343; 52344; 52345; 52351; 52352; 52400; 52402; 52450; 52500; 52640; 52700; 53040; 53210; 53220; 53240; 53250; 53260; 53270; 53275; 53450; 53453; 53460; 53500; 53502; 53605; 53850; 53852; 53854; 54000; 54110; 54120; 54300; 54304; 54312; 54318; 54322; 54324; 54326; 54328; 54332; 54336; 54340; 54360; 54406; 54415; 54420; 54435; 54437; 54440; 54505; 54512; 54520; 54522; 54535; 54600; 54620; 54670; 54680; 54830; 54860; 54861; 54865; 54901; 55060; 55110; 55150; 55175; 55200; 55400; 55500; 55520; 55530; 55680; 55705; 55706; 55720; 55725; 55980,Tprnl focal abltj mal prst8; Penile venous occlusion; Plmt nephroureteral catheter; Dilat xst trc ndurlgc px; Dilat xst trc new access rcs; Kidney endoscopy; Kidney endoscopy & biopsy; Fragmenting of kidney stone; Plmt ureteral stent prq; Plmt ureteral stent prq; Plmt ureteral stent prq; Revise ureter; Endoscopy of ureter; Endoscopy of ureter; Ureter endoscopy; Ureter endoscopy & catheter; Incise & treat bladder; Incise & treat bladder; Remove ureter calculus; Removal of bladder lesion; Repair of ureter lesion; Endoscopic injection/implant; Repair of bladder opening; Cystoscopy removal of clots; Cystoscopy and biopsy; Cystoscopy and treatment; Cystoscopy and treatment; Cystoscopy and treatment; Cystoscopy and treatment; Cystoscopy and radiotracer; Cystoscopy and treatment; Cystoscopy implant stent; Cystoscopy and treatment; Cystoscopy and treatment; Remove bladder stone; Remove bladder stone; Cystoscopy and treatment; Cystoscopy and treatment; Cystoscopy and treatment; Create passage to kidney; Cysto w/ureter stricture tx; Cysto w/up stricture tx; Cysto w/renal stricture tx; Cysto/uretero stricture tx; Cysto/uretero w/up stricture; Cystouretero & or pyeloscope; Cystouretero w/stone remove; Cystouretero w/congen repr; Cystourethro cut ejacul duct; Incision of prostate; Revision of bladder neck; Relieve bladder contracture; Drainage of prostate abscess; Drainage of urethra abscess; Removal of urethra; Treatment of urethra lesion; Surgery for urethra pouch; Removal of urethra gland; Treatment of urethra lesion; Removal of urethra gland; Repair of urethra defect; Revision of urethra; Tprnl balo cntnc dev rmvl ea; Revision of urethra; Urethrlys transvag w/ scope; Repair of urethra injury; Dilate urethra stricture; Prostatic microwave thermotx; Prostatic rf thermotx; Trurl dstrj prst8 tiss rf wv; Slitting of prepuce; Treatment of penis lesion; Partial removal of penis; Revision of penis; Revision of penis; Reconstruction of urethra; Reconstruction of urethra; Reconstruction of urethra; Reconstruction of urethra; Reconstruction of urethra; Revise penis/urethra; Revise penis/urethra; Revise penis/urethra; Rpr hypspad comp simple; Penis plastic surgery; Remove muti-comp penis pros; Remove self-contd penis pros; Revision of penis; Revision of penis; Repair corporeal tear; Repair of penis; Biopsy of testis; Excise lesion testis; Removal of testis; Orchiectomy partial; Extensive testis surgery; Reduce testis torsion; Suspension of testis; Repair testis injury; Relocation of testis(es); Remove epididymis lesion; Removal of epididymis; Removal of epididymis; Explore epididymis; Fusion of spermatic ducts; Repair of hydrocele; Explore scrotum; Removal of scrotum; Revision of scrotum; Incision of sperm duct; Repair of sperm duct; Removal of hydrocele; Removal of sperm cord lesion; Revise spermatic cord veins; Remove sperm pouch lesion; Biopsy of prostate; Prostate saturation sampling; Drainage of prostate abscess; Drainage of prostate abscess; Sex transformation f to m,"$3,321.58 "
5375,0714T; 50551; 50553; 50561; 50575; 50580; 50955; 50957; 50961; 50974; 50976; 50980; 51050; 52240; 52284; 52305; 52325; 52327; 52346; 52353; 52354; 52355; 52356; 52601; 52630; 52647; 52648; 52649; 53010; 53215; 53230; 53235; 53400; 53405; 53410; 53420; 53425; 53430; 53431; 53442; 53446; 53505; 53510; 53515; 53520; 54111; 54205; 54308; 54348; 54352; 54408; 54660; 55180; 55860; 55874; 55875; C9739,Tprnl lsr ablt b9 prst8 hypr; Kidney endoscopy; Kidney endoscopy; Kidney endoscopy & treatment; Kidney endoscopy; Kidney endoscopy & treatment; Ureter endoscopy & biopsy; Ureter endoscopy & treatment; Ureter endoscopy & treatment; Ureter endoscopy & biopsy; Ureter endoscopy & treatment; Ureter endoscopy & treatment; Removal of bladder stone; Cystoscopy and treatment; Cysto rx balo cath urtl strx; Cystoscopy and treatment; Cystoscopy stone removal; Cystoscopy inject material; Cystouretero w/renal strict; Cystouretero w/lithotripsy; Cystouretero w/biopsy; Cystouretero w/excise tumor; Cysto/uretero w/lithotripsy; Prostatectomy (turp); Remove prostate regrowth; Laser surgery of prostate; Laser surgery of prostate; Prostate laser enucleation; Incision of urethra; Removal of urethra; Removal of urethra lesion; Removal of urethra lesion; Revise urethra stage 1; Revise urethra stage 2; Reconstruction of urethra; Reconstruct urethra stage 1; Reconstruct urethra stage 2; Reconstruction of urethra; Reconstruct urethra/bladder; Remove/revise male sling; Remove uro sphincter; Repair of urethra injury; Repair of urethra injury; Repair of urethra injury; Repair of urethra defect; Treat penis lesion graft; Treatment of penis lesion; Reconstruction of urethra; Rpr hypspad comp dsj & urtp; Revj prior hypspad repair; Repair multi-comp penis pros; Revision of testis; Revision of scrotum; Surgical exposure prostate; Tprnl plmt biodegrdabl matrl; Transperi needle place pros; Cystoscopy prostatic imp 1-3,"$4,930.08 "
5376,0421T; 0619T; 50080; 50081; 50555; 50557; 50562; 50576; 51860; 53449; 53452; 54112; 54316; 54344; 55873; 55880; C9740; C9761; C9769,"Waterjet prostate abltj cmpl; Cysto w/prst8 commissurotomy; Perq nl/pl lithotrp smpl<2cm; Perq nl/pl lithotrp cplx>2cm; Kidney endoscopy & biopsy; Kidney endoscopy & treatment; Renal scope w/tumor resect; Kidney endoscopy & treatment; Repair of bladder wound; Repair uro sphincter; Tprnl balo cntnc dev uni; Treat penis lesion graft; Reconstruction of urethra; Rrp hypspad comp moblj&urtp; Cryoablate prostate; Abltj mal prst8 tiss hifu; Cysto impl 4 or more; Cysto, litho, vacuum kidney; Cysto w/temp pros implant","$8,777.41 "
5377,53440; 53451; 54400; 54417,Male sling procedure; Tprnl balo cntnc dev bi; Insert semi-rigid prosthesis; Remv/replc penis pros compl,"$12,230.83 "
5378,53444; 53445; 53447; 54401; 54405; 54410; 54411; 54416,Insert tandem cuff; Insert uro/ves nck sphincter; Remove/replace ur sphincter; Insert self-contd prosthesis; Insert multi-comp penis pros; Remove/replace penis prosth; Remov/replc penis pros comp; Remv/repl penis contain pros,"$19,219.50 "
5401,90935; G0257,Hemodialysis one evaluation; Unsched dialysis esrd pt hos,$665.81 
5411,56420; 56820; 57160; 57170; 57180; 57452; 58100; 58322; 58323; 58579; 58999; 59020; 59025; 59897; 59899; 99170,Drainage of gland abscess; Exam of vulva w/scope; Insert pessary/other device; Fitting of diaphragm/cap; Treat vaginal bleeding; Exam of cervix w/scope; Biopsy of uterus lining; Artificial insemination; Sperm washing; Unlisted hystsc px uterus; Unlisted px fml genital sys; Fetal contract stress test; Fetal non-stress test; Unlisted fetal invas px w/us; Unlisted px mat care&dlvr; Anogenital exam child w imag,$189.86 
5412,56405; 56821; 57156; 57420; 57454; 57455; 57456; 57511; 58301; 58321; 58976; 59001; 59012; 59030; 59070; 59072; 59074; 59076; 59200; 59866,I & d of vulva/perineum; Exam/biopsy of vulva w/scope; Ins vag brachytx device; Exam of vagina w/scope; Bx/curett of cervix w/scope; Biopsy of cervix w/scope; Endocerv curettage w/scope; Cryocautery of cervix; Remove intrauterine device; Artificial insemination; Transfer of embryo; Amniocentesis therapeutic; Fetal cord puncture prenatal; Fetal scalp blood sample; Transabdom amnioinfus w/us; Umbilical cord occlud w/us; Fetal fluid drainage w/us; Fetal shunt placement w/us; Insert cervical dilator; Abortion (mpr),$305.66 
5413,55870; 56605; 57100; 57421; 57500; 57505; 58970; 58974; 59000; 59015,Electroejaculation; Biopsy of vulva/perineum; Biopsy of vagina; Exam/biopsy of vag w/scope; Biopsy of cervix; Endocervical curettage; Retrieval of oocyte; Transfer of embryo; Amniocentesis diagnostic; Chorion biopsy,$765.96 
5414,0071T; 0072T; 56440; 56441; 56442; 56620; 56625; 56700; 56740; 56800; 56805; 56810; 57000; 57010; 57061; 57065; 57105; 57106; 57107; 57109; 57130; 57135; 57200; 57210; 57230; 57287; 57295; 57300; 57400; 57410; 57415; 57460; 57461; 57510; 57513; 57520; 57522; 57558; 57700; 57720; 57800; 58120; 58145; 58345; 58555; 58558; 58562; 58600; 58615; 58770; 58800; 58805; 58820; 58900; 59160; 59300; 59320; 59409; 59412; 59414; 59612; 59812; 59820; 59821; 59840; 59841; 59870; 59871,Us leiomyomata ablate <200; Fcsd us abltj leiomyom>=200; Surgery for vulva lesion; Lysis of labial lesion(s); Hymenotomy; Partial removal of vulva; Complete removal of vulva; Partial removal of hymen; Remove vagina gland lesion; Repair of vagina; Repair clitoris; Repair of perineum; Exploration of vagina; Drainage of pelvic abscess; Destroy vag lesions simple; Destroy vag lesions complex; Biopsy of vagina; Remove vagina wall partial; Remove vagina tissue part; Vaginectomy partial w/nodes; Remove vagina lesion; Remove vagina lesion; Repair of vagina; Repair vagina/perineum; Repair of urethral lesion; Revise/remove sling repair; Revise vag graft via vagina; Repair rectum-vagina fistula; Dilation of vagina; Pelvic examination; Remove vaginal foreign body; Bx of cervix w/scope leep; Conz of cervix w/scope leep; Cauterization of cervix; Laser surgery of cervix; Conization of cervix; Conization of cervix; D&c of cervical stump; Revision of cervix; Revision of cervix; Dilation of cervical canal; Dilation and curettage; Myomectomy vag method; Reopen fallopian tube; Hysteroscopy dx sep proc; Hysteroscopy biopsy; Hysteroscopy remove fb; Division of fallopian tube; Occlude fallopian tube(s); Create new tubal opening; Drainage of ovarian cyst(s); Drainage of ovarian cyst(s); Drain ovary abscess open; Biopsy of ovary(s); D & c after delivery; Episiotomy or vaginal repair; Revision of cervix; Obstetrical care; Antepartum manipulation; Deliver placenta; Vbac delivery only; Treatment of miscarriage; Care of miscarriage; Treatment of miscarriage; Abortion; Abortion; Evacuate mole of uterus; Remove cerclage suture,"$2,978.77 "
5415,51845; 55920; 55970; 57020; 57120; 57155; 57220; 57240; 57250; 57260; 57265; 57268; 57284; 57288; 57291; 57292; 57320; 57335; 57530; 57550; 57555; 57556; 58260; 58262; 58263; 58270; 58291; 58294; 58346; 58350; 58353; 58356; 58559; 58560; 58561; 58563; 58565; 58925; 59100; C9778,"Repair bladder neck; Place needles pelvic for rt; Sex transformation m to f; Drainage of pelvic fluid; Closure of vagina; Insert uteri tandem/ovoids; Revision of urethra; Anterior colporrhaphy; Repair rectum & vagina; Cmbn ant pst colprhy; Cmbn ap colprhy w/ntrcl rpr; Repair of bowel bulge; Repair paravag defect open; Repair bladder defect; Construction of vagina; Construct vagina with graft; Repair bladder-vagina lesion; Repair vagina; Removal of cervix; Removal of residual cervix; Remove cervix/repair vagina; Remove cervix repair bowel; Vaginal hysterectomy; Vag hyst including t/o; Vag hyst w/t/o & vag repair; Vag hyst w/enterocele repair; Vag hyst incl t/o complex; Vag hyst w/enterocele compl; Insert heyman uteri capsule; Reopen fallopian tube; Endometr ablate thermal; Endometrial cryoablation; Hysteroscopy lysis; Hysteroscopy resect septum; Hysteroscopy remove myoma; Hysteroscopy ablation; Hysteroscopy sterilization; Removal of ovarian cyst(s); Remove uterus lesion; Colpopexy, min/inv, ex-perit","$4,739.10 "
5416,57282; 57283; 57285; 57289; 57310; 57330; 57426; 58290; 58292; 58580; 58920,Colpopexy extraperitoneal; Colpopexy intraperitoneal; Repair paravag defect vag; Repair bladder & vagina; Repair urethrovaginal lesion; Repair bladder-vagina lesion; Revise prosth vag graft lap; Vag hyst complex; Vag hyst t/o & repair compl; Transcrv abltj utrn fibrd rf; Partial removal of ovary(s),"$7,199.80 "
5431,0440T; 0441T; 27325; 27326; 28035; 28055; 61790; 61791; 62194; 62287; 62292; 62355; 63600; 63610; 63661; 63746; 64605; 64610; 64624; 64625; 64633; 64635; 64702; 64704; 64708; 64712; 64713; 64714; 64716; 64718; 64719; 64721; 64722; 64726; 64732; 64734; 64736; 64738; 64740; 64742; 64744; 64746; 64763; 64766; 64771; 64772; 64774; 64776; 64782; 64784; 64788; 64790; 64795; 64802; 64804; 64820; 64831; 64858; 64861; 72285; 72295,Abltj perc uxtr/perph nrv; Abltj perc lxtr/perph nrv; Neurectomy hamstring; Neurectomy popliteal; Decompression of tibia nerve; Neurectomy foot; Treat trigeminal nerve; Treat trigeminal tract; Replace/irrigate catheter; Dcmprn px perq 1/mlt lumbar; Njx chemonucleolysis lmbr; Remove spinal canal catheter; Remove spinal cord lesion; Stimulation of spinal cord; Remove spine eltrd perq aray; Removal of spinal shunt; Injection treatment of nerve; Injection treatment of nerve; Dstrj nulyt agt gnclr nrv; Rf abltj nrv nrvtg si jt; Destroy cerv/thor facet jnt; Destroy lumb/sac facet jnt; Revise finger/toe nerve; Revise hand/foot nerve; Revise arm/leg nerve; Revision of sciatic nerve; Revision of arm nerve(s); Revise low back nerve(s); Revision of cranial nerve; Revise ulnar nerve at elbow; Revise ulnar nerve at wrist; Carpal tunnel surgery; Relieve pressure on nerve(s); Release foot/toe nerve; Incision of brow nerve; Incision of cheek nerve; Incision of chin nerve; Incision of jaw nerve; Incision of tongue nerve; Incision of facial nerve; Incise nerve back of head; Incise diaphragm nerve; Incise hip/thigh nerve; Incise hip/thigh nerve; Sever cranial nerve; Incision of spinal nerve; Remove skin nerve lesion; Remove digit nerve lesion; Remove limb nerve lesion; Remove nerve lesion; Remove skin nerve lesion; Removal of nerve lesion; Biopsy of nerve; Sympathectomy cervical; Remove sympathetic nerves; Sympathectomy digital artery; Repair of digit nerve; Repair sciatic nerve; Repair of arm nerves; Discography cerv/thor spine; X-ray of lower spine disk,"$1,839.63 "
5432,0269T; 0442T; 61215; 61720; 61770; 62225; 62230; 62350; 62365; 63741; 63744; 64570; 64584; 64786; 64792; 64834; 64835; 64836; 64840; 64856; 64857; 64862; 64864; 64865; 64885; 64886; 64890; 64891; 64892; 64893; 64895; 64896; 64897; 64898; 64905; 64907; 64910; 64911; 64912,Rev/remvl crtd sns dev total; Abltj perc plex/trncl nrv; Insert brain-fluid device; Incise skull/brain surgery; Incise skull for treatment; Replace/irrigate catheter; Replace/revise brain shunt; Implant spinal canal cath; Remove spine infusion device; Install spinal shunt; Revision of spinal shunt; Remove vagus n eltrd; Rmvl hpglsl nstim ary pg; Remove sciatic nerve lesion; Removal of nerve lesion; Repair of hand or foot nerve; Repair of hand or foot nerve; Repair of hand or foot nerve; Repair of leg nerve; Repair/transpose nerve; Repair arm/leg nerve; Repair of low back nerves; Repair of facial nerve; Repair of facial nerve; Nerve graft head/neck <4 cm; Nerve graft head/neck >4 cm; Nrv grf 1strnd hnd/foot <4cm; Nrv grf 1strnd hnd/foot >4cm; Nrv grf 1strnd arm/leg <4cm; Nrv grf 1strnd arm/leg >4 cm; Nrv grf mltst hnd/foot <4 cm; Nrv grf mltst hnd/foot >4 cm; Nrv grf mltst arm/leg <4 cm; Nrv grf mltst arm/leg >4 cm; Nerve pedicle transfer; Nerve pedicle transfer; Nerve repair w/allograft; Neurorraphy w/vein autograft; Nrv rpr w/nrv algrft 1st,"$6,346.97 "
5441,20526; 20527; 20550; 20551; 20552; 20553; 20600; 20604; 20605; 20610; 20611; 20612; 61050; 61055; 64400; 64405; 64408; 64455; 64505; 64566; 64611; 64612; 64615; 64616; 64632; 64650; 64653; 64999; 95991,Ther injection carp tunnel; Inj dupuytren cord w/enzyme; Inj tendon sheath/ligament; Inj tendon origin/insertion; Inj trigger point 1/2 muscl; Inject trigger points 3/>; Drain/inj joint/bursa w/o us; Drain/inj joint/bursa w/us; Drain/inj joint/bursa w/o us; Drain/inj joint/bursa w/o us; Drain/inj joint/bursa w/us; Aspirate/inj ganglion cyst; Remove brain canal fluid; Injection into brain canal; Njx aa&/strd trigeminal nrv; Njx aa&/strd gr ocpl nrv; Njx aa&/strd vagus nrv; Njx aa&/strd pltr com dg nrv; N block spenopalatine gangl; Neuroeltrd stim post tibial; Chemodenerv saliv glands; Destroy nerve face muscle; Chemodenerv musc migraine; Chemodenerv musc neck dyston; N block inj common digit; Chemodenerv eccrine glands; Chemodenerv eccrine glands; Unlisted px nervous system; Spin/brain pump refil & main,$282.20 
5442,20606; 61000; 61001; 61026; 61070; 62270; 62272; 62273; 62320; 62321; 62323; 62328; 62329; 64418; 64420; 64425; 64435; 64445; 64447; 64450; 64451; 64454; 64461; 64463; 64617; 64642; 64644; 64646; 64647; G0260,Drain/inj joint/bursa w/us; Remove cranial cavity fluid; Remove cranial cavity fluid; Injection into brain canal; Brain canal shunt procedure; Dx lmbr spi pnxr; Ther spi pnxr drg csf; Inject epidural patch; Njx interlaminar crv/thrc; Njx interlaminar crv/thrc; Njx interlaminar lmbr/sac; Dx lmbr spi pnxr w/fluor/ct; Ther spi pnxr csf fluor/ct; Njx aa&/strd sprscap nrv; Njx aa&/strd ntrcost nrv 1; Njx aa&/strd ii ih nerves; Njx aa&/strd paracrv nrv; Njx aa&/strd sciatic nrv img; Njx aa&/strd femoral nrv img; Njx aa&/strd other pn/branch; Njx aa&/strd nrv nrvtg si jt; Njx aa&/strd gnclr nrv brnch; Pvb thoracic single inj site; Pvb thoracic cont infusion; Chemodener muscle larynx emg; Chemodenerv 1 extremity 1-4; Chemodenerv 1 extrem 5/> mus; Chemodenerv trunk musc 1-5; Chemodenerv trunk musc 6/>; Inj for sacroiliac jt anesth,$658.90 
5443,0213T; 0216T; 61020; 62263; 62264; 62268; 62280; 62281; 62282; 62294; 62322; 62324; 62325; 62326; 62327; 64415; 64416; 64417; 64421; 64430; 64446; 64448; 64449; 64479; 64483; 64490; 64493; 64510; 64517; 64520; 64530; 64600; 64620; 64630; 64640; 64680; 64681,Njx paravert w/us cer/thor; Njx paravert w/us lumb/sac; Remove brain cavity fluid; Epidural lysis mult sessions; Epidural lysis on single day; Drain spinal cord cyst; Treat spinal cord lesion; Treat spinal cord lesion; Treat spinal canal lesion; Injection into spinal artery; Njx interlaminar lmbr/sac; Njx interlaminar crv/thrc; Njx interlaminar crv/thrc; Njx interlaminar lmbr/sac; Njx interlaminar lmbr/sac; Njx aa&/strd brch plxs img; Njx aa&/strd brch pl nfs img; Njx aa&/strd ax nerve img; Njx aa&/strd ntrcost nrv ea; Njx aa&/strd pudendal nerve; Njx aa&/strd sc nrv nfs img; Njx aa&/strd fem nrv nfs img; Njx aa&/strd lmbr plex nfs; Njx aa&/strd tfrm epi c/t 1; Njx aa&/strd tfrm epi l/s 1; Inj paravert f jnt c/t 1 lev; Inj paravert f jnt l/s 1 lev; N block stellate ganglion; N block inj hypogas plxs; N block lumbar/thoracic; N block inj celiac pelus; Injection treatment of nerve; Injection treatment of nerve; Injection treatment of nerve; Injection treatment of nerve; Injection treatment of nerve; Injection treatment of nerve,$868.45 
5461,0267T; 0270T; 0271T; 0588T; 0785T; 0787T; 0818T; 0819T; 33278; 33279; 33280; 33281; 61880; 63662; 63688; 64585; 64595; 64598,Implt/rpl crtd sns dev lead; Rev/remvl crtd sns dev lead; Rev/remvl crtd sns dev gen; Revision/removal isdns ptn; Revj/rmvl nea spi w/nstim; Revj/rmvl nea sac w/nstim; Revj/rmvl ins ptn subq; Revj/rmvl ins ptn subf; Rmvl phrnc nrv stim sys; Rmvl phrnc nrv stim transvns; Rmvl phrnc nrv stim pg only; Reposg phrnc nrv stim trnsvn; Revise/remove neuroelectrode; Remove spine eltrd plate; Rev/rmv imp sp npg/r dtch cn; Rev/rmv perph nstim eltrd ra; Rev/rmv prph sac/gstr npg/r; Revj/rmvl nea pn w/int nstim,"$3,241.90 "
5462,0587T; 63650; 63663; 64555; 64561; 64581,Perq impltj/rplcmt isdns ptn; Implant neuroelectrodes; Revise spine eltrd perq aray; Implant neuroelectrodes; Implant neuroelectrodes; Opn impltj nea sacral nerve,"$6,516.28 "
5463,0398T; 0784T; 0786T; 33288; 43647; 61888; 63664; 64553; 64569; 64575; 64583; 64596,Mrgfus strtctc les abltj; Ins/rplmt eltrd ra spi nstim; Insj/rplcmt prq ra sac nstim; Rmv&rplcmt phrnc nrv stim ld; Lap impl electrode antrum; Revise/remove neuroreceiver; Revise spine eltrd plate; Implant neuroelectrodes; Revise/repl vagus n eltrd; Opn impltj nea perph nerve; Rev/rplct hpglsl nstm ary pg; Ins/rplcmt prq eltrd ra pn 1,"$12,978.95 "
5464,0816T; 0817T; 61885; 61891; 63655; 64580; 64590,Opn insj/rplcmt ins ptn subq; Opn insj/rplcmt ins ptn subf; Insrt/redo neurostim 1 array; Rev/rplcmt sk-mnt crnl nstm; Implant neuroelectrodes; Opn impltj nea neuromuscular; Ins/rpl prph sac/gstr npg/r,"$20,842.84 "
5465,0268T; 33287; 61886; 63685; 64568; 64582,Implt/rpl crtd sns dev gen; Rmv&rplcmt phrnc nrv stim pg; Implant neurostim arrays; Ins/rplc spi npg/rcvr pocket; Opn impltj crnl nrv nea&pg; Opn mpltj hpglsl nstm ary pg,"$29,586.29 "
5471,62360; 62361; 62362,Insert spine infusion device; Implant spine infusion pump; Implant spine infusion pump,"$16,992.38 "
5481,65855; 65860; 66761; 66762; 66770; 66821; 67031; 67105; 67145; 67210; 67220; 67221; 67228; 67229; G0186,"Trabeculoplasty laser surg; Incise inner eye adhesions; Revision of iris; Revision of iris; Removal of inner eye lesion; After cataract laser surgery; Laser surgery eye strands; Repair detached retina pc; Proph rta dtchmnt pc; Treatment of retinal lesion; Treatment of choroid lesion; Ocular photodynamic ther; Treatment x10sv retinopathy; Tr retinal les preterm inf; Dstry eye lesn,fdr vssl tech",$553.83 
