HCPCS Code,Short Descriptor,APC,Payment Rate
74450,X-ray urethra/bladder,5523,$233.47 
74455,X-ray urethra/bladder,5523,$233.47 
74470,X-ray exam of kidney lesion,5524,$525.63 
74485,Dilation urtr/urt rs&i,5373,"$1,940.66 "
74712,Mri fetal sngl/1st gestation,5523,$233.47 
74713,Mri fetal ea addl gestation,,
74740,X-ray female genital tract,5523,$233.47 
74742,X-ray fallopian tube,,
74775,X-ray exam of perineum,5523,$233.47 
75557,Cardiac mri for morph,5523,$233.47 
75559,Cardiac mri w/stress img,5524,$525.63 
75561,Cardiac mri for morph w/dye,5572,$366.42 
75563,Card mri w/stress img & dye,5573,$762.88 
75565,Card mri veloc flow mapping,,
75571,Ct hrt w/o dye w/ca test,5521,$86.58 
75572,Ct hrt w/3d image,5571,$175.06 
75573,Ct hrt c+ strux cgen hrt ds,5571,$175.06 
75574,Ct angio hrt w/3d image,5571,$175.06 
75580,N-invas est c ffr sw aly cta,5724,$996.18 
75600,Contrast exam thoracic aorta,5183,"$3,037.01 "
75605,Contrast exam thoracic aorta,5184,"$5,235.92 "
75625,Contrast exam abdominl aorta,5183,"$3,037.01 "
75630,X-ray aorta leg arteries,5183,"$3,037.01 "
75635,Ct angio abdominal arteries,5571,$175.06 
75705,Artery x-rays spine,5184,"$5,235.92 "
75710,Artery x-rays arm/leg,5183,"$3,037.01 "
75716,Artery x-rays arms/legs,5183,"$3,037.01 "
75726,Artery x-rays abdomen,5184,"$5,235.92 "
75731,Artery x-rays adrenal gland,5183,"$3,037.01 "
75733,Artery x-rays adrenals,5183,"$3,037.01 "
75736,Artery x-rays pelvis,5184,"$5,235.92 "
75741,Artery x-rays lung,5183,"$3,037.01 "
75743,Artery x-rays lungs,5183,"$3,037.01 "
75746,Artery x-rays lung,5183,"$3,037.01 "
75756,Artery x-rays chest,5183,"$3,037.01 "
75774,Artery x-ray each vessel,,
75801,Lymph vessel x-ray arm/leg,5181,$598.55 
75803,Lymph vessel x-ray arms/legs,5182,"$1,525.93 "
75805,Lymph vessel x-ray trunk,5183,"$3,037.01 "
75807,Lymph vessel x-ray trunk,5183,"$3,037.01 "
75809,Nonvascular shunt x-ray,5522,$104.75 
75810,Vein x-ray spleen/liver,5183,"$3,037.01 "
75820,Vein x-ray arm/leg,5182,"$1,525.93 "
75822,Vein x-ray arms/legs,5182,"$1,525.93 "
75825,Vein x-ray trunk,5183,"$3,037.01 "
75827,Vein x-ray chest,5182,"$1,525.93 "
75831,Vein x-ray kidney,5183,"$3,037.01 "
75833,Vein x-ray kidneys,5183,"$3,037.01 "
75840,Vein x-ray adrenal gland,5183,"$3,037.01 "
75842,Vein x-ray adrenal glands,5184,"$5,235.92 "
75860,Vein x-ray neck,5183,"$3,037.01 "
75870,Vein x-ray skull,5183,"$3,037.01 "
75872,Vein x-ray skull epidural,5181,$598.55 
75880,Vein x-ray eye socket,5181,$598.55 
75885,Vein x-ray liver w/hemodynam,5183,"$3,037.01 "
75887,Vein x-ray liver w/o hemodyn,5183,"$3,037.01 "
75889,Vein x-ray liver w/hemodynam,5183,"$3,037.01 "
75891,Vein x-ray liver,5183,"$3,037.01 "
75893,Venous sampling by catheter,5184,"$5,235.92 "
75894,X-rays transcath therapy,,
75898,Follow-up angiography,5183,"$3,037.01 "
75901,Remove cva device obstruct,,
75902,Remove cva lumen obstruct,,
75956,Xray endovasc thor ao repr,,
75957,Xray endovasc thor ao repr,,
75958,Xray place prox ext thor ao,,
75959,Xray place dist ext thor ao,,
75970,Vascular biopsy,,
75984,Xray control catheter change,,
75989,Abscess drainage under x-ray,,
76000,Fluoroscopy <1 hr phys/qhp,5523,$233.47 
76010,X-ray nose to rectum,5521,$86.58 
76080,X-ray exam of fistula,5524,$525.63 
76098,X-ray exam surgical specimen,5524,$525.63 
76100,X-ray exam of body section,5522,$104.75 
76120,Cine/video x-rays,5522,$104.75 
76125,Cine/video x-rays add-on,,
76140,X-ray consultation,,
76145,Med physic dos eval rad exps,5723,$510.68 
76376,3d render w/intrp postproces,,
76377,3d render w/intrp postproces,,
76380,Cat scan follow-up study,5521,$86.58 
76390,Mr spectroscopy,5521,$86.58 
76391,Mr elastography,5523,$233.47 
76496,Unlisted fluoroscopic px,5521,$86.58 
76497,Unlisted ct procedure,5521,$86.58 
76498,Unlisted mr procedure,5521,$86.58 
76499,Unlisted dx radiographic px,5521,$86.58 
76506,Echo exam of head,5522,$104.75 
76510,Oph us dx b-scan&quan a-scan,5734,$121.71 
76511,Oph us dx quan a-scan only,5522,$104.75 
76512,Oph us dx b-scan,5522,$104.75 
76513,Oph us dx ant sgm us uni/bi,5522,$104.75 
76514,Echo exam of eye thickness,5731,$28.37 
76516,Echo exam of eye,5522,$104.75 
76519,Echo exam of eye,5522,$104.75 
76529,Echo exam of eye,5521,$86.58 
76536,Us exam of head and neck,5522,$104.75 
76604,Us exam chest,5522,$104.75 
76641,Ultrasound breast complete,5522,$104.75 
76642,Ultrasound breast limited,5521,$86.58 
76700,Us exam abdom complete,5522,$104.75 
76705,Echo exam of abdomen,5522,$104.75 
76706,Us abdl aorta screen aaa,5522,$104.75 
76770,Us exam abdo back wall comp,5522,$104.75 
76775,Us exam abdo back wall lim,5522,$104.75 
76776,Us exam k transpl w/doppler,5522,$104.75 
76800,Us exam spinal canal,5522,$104.75 
76801,Ob us < 14 wks single fetus,5522,$104.75 
76802,Ob us < 14 wks addl fetus,,
76805,Ob us >= 14 wks sngl fetus,5522,$104.75 
76810,Ob us >= 14 wks addl fetus,,
76811,Ob us detailed sngl fetus,5523,$233.47 
76812,Ob us detailed addl fetus,,
76813,Ob us nuchal meas 1 gest,5522,$104.75 
76814,Ob us nuchal meas add-on,,
76815,Ob us limited fetus(s),5522,$104.75 
76816,Ob us follow-up per fetus,5522,$104.75 
76817,Transvaginal us obstetric,5522,$104.75 
76818,Fetal biophys profile w/nst,5522,$104.75 
76819,Fetal biophys profil w/o nst,5522,$104.75 
76820,Umbilical artery echo,5522,$104.75 
76821,Middle cerebral artery echo,5522,$104.75 
76825,Echo exam of fetal heart,5524,$525.63 
76826,Echo exam of fetal heart,5523,$233.47 
76827,Echo exam of fetal heart,5522,$104.75 
76828,Echo exam of fetal heart,5522,$104.75 
76830,Transvaginal us non-ob,5522,$104.75 
76831,Echo exam uterus,5523,$233.47 
76856,Us exam pelvic complete,5522,$104.75 
76857,Us exam pelvic limited,5522,$104.75 
76870,Us exam scrotum,5522,$104.75 
76872,Us transrectal,5522,$104.75 
76873,Echograp trans r pros study,5522,$104.75 
76881,Us compl joint r-t w/img,5522,$104.75 
76882,Us lmtd jt/fcl evl nvasc xtr,5522,$104.75 
76883,Us nrv&acc strux 1xtr compre,5522,$104.75 
76885,Us exam infant hips dynamic,5521,$86.58 
76886,Us exam infant hips static,5521,$86.58 
76932,Echo guide for heart biopsy,,
76936,Echo guide for artery repair,5722,$299.06 
76937,Us guide vascular access,,
76940,Us guide tissue ablation,,
76941,Echo guide for transfusion,,
76942,Echo guide for biopsy,,
76945,Echo guide villus sampling,,
76946,Echo guide for amniocentesis,,
76948,Echo guide ova aspiration,,
76965,Echo guidance radiotherapy,,
76975,Gi endoscopic ultrasound,5523,$233.47 
76977,Us bone density measure,5522,$104.75 
76978,Us trgt dyn mbubb 1st les,5571,$175.06 
76979,Us trgt dyn mbubb ea addl,,
76981,Use parenchyma,5522,$104.75 
76982,Use 1st target lesion,5522,$104.75 
76983,Use ea addl target lesion,,
76984,Dx intraop thoracic aorta us,,
76987,Dx intraop epicar car us chd,,
76988,Dx ntrop epcr us chd img acq,,
76989,Dx intraop epcar us chd i&r,,
76998,Us guide intraop,,
76999,Echo examination procedure,5521,$86.58 
77001,Fluoroguide for vein device,,
77002,Needle localization by xray,,
77003,Fluoroguide for spine inject,,
77011,Ct scan for localization,,
77012,Ct scan for needle biopsy,,
77013,Ct guide for tissue ablation,,
77014,Ct scan for therapy guide,,
77021,Mri guidance ndl plmt rs&i,,
77022,Mri gdn parnchyma tiss abltj,,
77046,Mri breast c- unilateral,5523,$233.47 
77047,Mri breast c- bilateral,5523,$233.47 
77048,Mri breast c-+ w/cad uni,,
77049,Mri breast c-+ w/cad bi,,
77053,X-ray of mammary duct,5523,$233.47 
77054,X-ray of mammary ducts,5523,$233.47 
77061,Breast tomosynthesis uni,,
77062,Breast tomosynthesis bi,,
77063,Breast tomosynthesis bi,,
77065,Dx mammo incl cad uni,,
77066,Dx mammo incl cad bi,,
77067,Scr mammo bi incl cad,,
77071,X-ray stress view,5521,$86.58 
77072,X-rays for bone age,5522,$104.75 
77073,X-rays bone length studies,5522,$104.75 
77074,X-rays bone survey limited,5522,$104.75 
77075,X-rays bone survey complete,5522,$104.75 
77076,X-rays bone survey infant,5522,$104.75 
77077,Joint survey single view,5522,$104.75 
77078,Ct bone density axial,5521,$86.58 
77080,Dxa bone density axial,5522,$104.75 
77081,Dxa bone density/peripheral,5521,$86.58 
77084,Magnetic image bone marrow,5523,$233.47 
77085,Dxa bone density study,5522,$104.75 
77086,Fracture assessment via dxa,5521,$86.58 
77089,Tbs dxa cal w/i&r fx risk,,
77090,Tbs techl prep&transmis data,5521,$86.58 
77091,Tbs techl calculation only,5521,$86.58 
77092,Tbs i&r fx rsk qhp,,
77261,Radiation therapy planning,,
77262,Radiation therapy planning,,
77263,Radiation therapy planning,,
77280,Set radiation therapy field,5611,$129.28 
77285,Set radiation therapy field,5612,$352.05 
77290,Set radiation therapy field,5612,$352.05 
77293,Respirator motion mgmt simul,,
77295,3-d radiotherapy plan,5613,"$1,320.21 "
77299,Unlisted px ther rad tx plng,5611,$129.28 
77300,Radiation therapy dose plan,5611,$129.28 
77301,Radiotherapy dose plan imrt,5613,"$1,320.21 "
77306,Telethx isodose plan simple,5612,$352.05 
77307,Telethx isodose plan cplx,5612,$352.05 
77316,Brachytx isodose plan simple,5612,$352.05 
77317,Brachytx isodose intermed,5612,$352.05 
77318,Brachytx isodose complex,5612,$352.05 
77321,Special teletx port plan,5612,$352.05 
77331,Special radiation dosimetry,5611,$129.28 
77332,Radiation treatment aid(s),5611,$129.28 
77333,Radiation treatment aid(s),5611,$129.28 
77334,Radiation treatment aid(s),5612,$352.05 
77336,Radiation physics consult,5611,$129.28 
77338,Design mlc device for imrt,5612,$352.05 
77370,Radiation physics consult,5611,$129.28 
77371,Srs multisource,5627,"$7,419.64 "
77372,Srs linear based,5627,"$7,419.64 "
77373,Sbrt delivery,5626,"$1,700.12 "
77385,Ntsty modul rad tx dlvr smpl,5623,$560.87 
77386,Ntsty modul rad tx dlvr cplx,5623,$560.87 
77387,Guidance for radj tx dlvr,,
77399,Unlisted px med radj physics,5611,$129.28 
77401,Radiation treatment delivery,5621,$114.25 
77402,Radiation treatment delivery,5621,$114.25 
77407,Radiation treatment delivery,5622,$256.06 
77412,Radiation treatment delivery,5622,$256.06 
77417,Radiology port images(s),,
77423,Neutron beam tx complex,5623,$560.87 
77424,Io rad tx delivery by x-ray,5627,"$7,419.64 "
77425,Io rad tx deliver by elctrns,5627,"$7,419.64 "
77427,Radiation tx management x5,,
77431,Radiation therapy management,,
77432,Stereotactic radiation trmt,,
77435,Sbrt management,,
77469,Io radiation tx management,,
77470,Special radiation treatment,5623,$560.87 
77499,Unlisted px ther rad tx mgmt,,
77520,Proton trmt simple w/o comp,5623,$560.87 
77522,Proton trmt simple w/comp,5625,"$1,351.62 "
77523,Proton trmt intermediate,5625,"$1,351.62 "
77525,Proton treatment complex,5625,"$1,351.62 "
77600,Hyperthermia treatment,5622,$256.06 
77605,Hyperthermia treatment,5624,$683.13 
77610,Hyperthermia treatment,5623,$560.87 
77615,Hyperthermia treatment,5623,$560.87 
77620,Hyperthermia treatment,5623,$560.87 
77750,Infuse radioactive materials,5622,$256.06 
77761,Apply intrcav radiat simple,5623,$560.87 
77762,Apply intrcav radiat interm,5623,$560.87 
77763,Apply intrcav radiat compl,5624,$683.13 
77767,Hdr rdncl skn surf brachytx,5622,$256.06 
77768,Hdr rdncl skn surf brachytx,5622,$256.06 
77770,Hdr rdncl ntrstl/icav brchtx,5624,$683.13 
77771,Hdr rdncl ntrstl/icav brchtx,5624,$683.13 
77772,Hdr rdncl ntrstl/icav brchtx,5624,$683.13 
77778,Apply interstit radiat compl,5624,$683.13 
77789,Apply surf ldr radionuclide,5621,$114.25 
77790,Radiation handling,,
77799,Unlisted px clin brachytx,5621,$114.25 
78012,Thyroid uptake measurement,5591,$392.97 
78013,Thyroid imaging w/blood flow,5591,$392.97 
78014,Thyroid imaging w/blood flow,5591,$392.97 
78015,Thyroid met imaging,5591,$392.97 
78016,Thyroid met imaging/studies,5591,$392.97 
78018,Thyroid met imaging body,5592,$514.99 
78020,Thyroid met uptake,,
78070,Parathyroid planar imaging,5591,$392.97 
78071,Parathyrd planar w/wo subtrj,5591,$392.97 
78072,Parathyrd planar w/spect&ct,5592,$514.99 
78075,Adrenal cortex & medulla img,5593,"$1,352.93 "
78099,Unlisted endocrine px dx nuc,5591,$392.97 
78102,Bone marrow imaging ltd,5591,$392.97 
78103,Bone marrow imaging mult,5591,$392.97 
78104,Bone marrow imaging body,5591,$392.97 
78110,Plasma volume single,5593,"$1,352.93 "
78111,Plasma volume multiple,5593,"$1,352.93 "
78120,Red cell mass single,5591,$392.97 
78121,Red cell mass multiple,5592,$514.99 
78122,Blood volume,5592,$514.99 
78130,Red cell survival study,5591,$392.97 
78140,Red cell sequestration,5591,$392.97 
78185,Spleen imaging,5591,$392.97 
78191,Platelet survival,5591,$392.97 
78195,Lymph system imaging,5592,$514.99 
78199,Unlstd hematop ret/endo lymp,5591,$392.97 
78201,Liver imaging,5592,$514.99 
78202,Liver imaging with flow,5592,$514.99 
78215,Liver and spleen imaging,5591,$392.97 
78216,Liver & spleen image/flow,5591,$392.97 
78226,Hepatobiliary system imaging,5591,$392.97 
78227,Hepatobil syst image w/drug,5592,$514.99 
78230,Salivary gland imaging,5591,$392.97 
78231,Serial salivary imaging,5591,$392.97 
78232,Salivary gland function exam,5591,$392.97 
78258,Esophageal motility study,5591,$392.97 
78261,Gastric mucosa imaging,5591,$392.97 
78262,Gastroesophageal reflux exam,5591,$392.97 
78264,Gastric emptying imag study,5591,$392.97 
78265,Gastric emptying imag study,5591,$392.97 
78266,Gastric emptying imag study,5592,$514.99 
78267,Breath tst attain/anal c-14,,
78268,Breath test analysis c-14,,
78278,Acute gi blood loss imaging,5591,$392.97 
78282,Gi protein loss exam,5591,$392.97 
78290,Meckels divert exam,5591,$392.97 
78291,Leveen/shunt patency exam,5591,$392.97 
78299,Unlisted gi px dx nuc med,5591,$392.97 
78300,Bone imaging limited area,5591,$392.97 
78305,Bone imaging multiple areas,5591,$392.97 
78306,Bone imaging whole body,5591,$392.97 
78315,Bone imaging 3 phase,5591,$392.97 
78350,Bone mineral single photon,,
78351,Bone mineral dual photon,,
78399,Unlisted muscskel px dx nuc,5591,$392.97 
78414,Non-imaging heart function,5592,$514.99 
78428,Cardiac shunt imaging,5591,$392.97 
78429,Myocrd img pet 1 std w/ct,5594,"$1,490.60 "
78430,Myocrd img pet rst/strs w/ct,5594,"$1,490.60 "
78431,Myocrd img pet rst&strs ct,1522,"$2,250.50 "
78432,Myocrd img pet 2rtracer,1520,"$1,850.50 "
78433,Myocrd img pet 2rtracer ct,1521,"$1,950.50 "
78434,Aqmbf pet rest & rx stress,,
78445,Vascular flow imaging,5591,$392.97 
78451,Ht muscle image spect sing,5593,"$1,352.93 "
78452,Ht muscle image spect mult,5593,"$1,352.93 "
78453,Ht muscle image planar sing,5593,"$1,352.93 "
78454,Ht musc image planar mult,5593,"$1,352.93 "
78456,Acute venous thrombus image,5593,"$1,352.93 "
78457,Venous thrombosis imaging,5592,$514.99 
78458,Ven thrombosis images bilat,5591,$392.97 
78459,Myocrd img pet single study,5593,"$1,352.93 "
78466,Heart infarct image,5591,$392.97 
78468,Heart infarct image (ef),5592,$514.99 
78469,Heart infarct image (3d),5592,$514.99 
78472,Gated heart planar single,5591,$392.97 
78473,Gated heart multiple,5591,$392.97 
78481,Heart first pass single,5592,$514.99 
78483,Heart first pass multiple,5592,$514.99 
78491,Myocrd img pet 1std rst/strs,5594,"$1,490.60 "
78492,Myocrd img pet mlt rst&strs,5594,"$1,490.60 "
78494,Heart image spect,5591,$392.97 
78496,Heart first pass add-on,,
78499,Unlisted cv px dx nuc med,5591,$392.97 
78579,Lung ventilation imaging,5591,$392.97 
78580,Lung perfusion imaging,5591,$392.97 
78582,Lung ventilat&perfus imaging,5592,$514.99 
78597,Lung perfusion differential,5591,$392.97 
78598,Lung perf&ventilat diferentl,5592,$514.99 
78599,Unlisted resp px dx nuc med,5591,$392.97 
78600,Brain image < 4 views,5591,$392.97 
78601,Brain image w/flow < 4 views,5591,$392.97 
78605,Brain image 4+ views,5592,$514.99 
78606,Brain image w/flow 4 + views,5592,$514.99 
78608,Brain imaging (pet),5594,"$1,490.60 "
78609,Brain imaging (pet),,
78610,Brain flow imaging only,5592,$514.99 
78630,Cerebrospinal fluid scan,5592,$514.99 
78635,Csf ventriculography,5592,$514.99 
78645,Csf shunt evaluation,5592,$514.99 
78650,Csf leakage imaging,5593,"$1,352.93 "
78660,Nuclear exam of tear flow,5591,$392.97 
78699,Unlisted nrvs sys px dx nuc,5591,$392.97 
78700,Kidney imaging morphol,5591,$392.97 
78701,Kidney imaging with flow,5591,$392.97 
78707,K flow/funct image w/o drug,5592,$514.99 
78708,K flow/funct image w/drug,5592,$514.99 
78709,K flow/funct image multiple,5592,$514.99 
78725,Kidney function study,5591,$392.97 
78730,Urinary bladder retention,,
78740,Ureteral reflux study,5591,$392.97 
78761,Testicular imaging w/flow,5591,$392.97 
78799,Unlisted gu px dx nuc med,5591,$392.97 
78800,Rp loclzj tum 1 area 1 d img,5591,$392.97 
78801,Rp loclzj tum 2+area 1+d img,5591,$392.97 
78802,Rp loclzj tum whbdy 1 d img,5593,"$1,352.93 "
78803,Rp loclzj tum spect 1 area,5593,"$1,352.93 "
78804,Rp loclzj tum whbdy 2+d img,5593,"$1,352.93 "
78808,Iv inj ra drug dx study,5591,$392.97 
78811,Pet image ltd area,5593,"$1,352.93 "
78812,Pet image skull-thigh,5594,"$1,490.60 "
78813,Pet image full body,5594,"$1,490.60 "
78814,Pet image w/ct lmtd,5594,"$1,490.60 "
78815,Pet image w/ct skull-thigh,5594,"$1,490.60 "
78816,Pet image w/ct full body,5594,"$1,490.60 "
78830,Rp loclzj tum spect w/ct 1,5593,"$1,352.93 "
78831,Rp loclzj tum spect 2 areas,5593,"$1,352.93 "
78832,Rp loclzj tum spect w/ct 2,5594,"$1,490.60 "
78835,Rp quan meas single area,,
78999,Unlisted misc px dx nuc med,5591,$392.97 
79005,Nuclear rx oral admin,5661,$237.04 
79101,Nuclear rx iv admin,5661,$237.04 
79200,Nuclear rx intracav admin,5661,$237.04 
79300,Nuclr rx interstit colloid,5661,$237.04 
79403,Hematopoietic nuclear tx,5661,$237.04 
79440,Nuclear rx intra-articular,5661,$237.04 
79445,Nuclear rx intra-arterial,5661,$237.04 
79999,Rp therapy unlisted px,5661,$237.04 
80047,Metabolic panel ionized ca,,
80048,Metabolic panel total ca,,
80050,General health panel,,
80051,Electrolyte panel,,
80053,Comprehen metabolic panel,,
80055,Obstetric panel,,
80061,Lipid panel,,
80069,Renal function panel,,
80074,Acute hepatitis panel,,
80076,Hepatic function panel,,
80081,Obstetric panel,,
80143,Drug assay acetaminophen,,
80145,Drug assay adalimumab,,
80150,Assay of amikacin,,
80151,Drug assay amiodarone,,
80155,Drug assay caffeine,,
80156,Assay carbamazepine total,,
80157,Assay carbamazepine free,,
80158,Drug assay cyclosporine,,
80159,Drug assay clozapine,,
80161,"Asy carbamazepin 10,11-epxid",,
80162,Assay of digoxin total,,
80163,Assay of digoxin free,,
80164,Assay dipropylacetic acd tot,,
80165,Dipropylacetic acid free,,
80167,Drug assay felbamate,,
80168,Assay of ethosuximide,,
80169,Drug assay everolimus,,
80170,Assay of gentamicin,,
80171,Drug screen quant gabapentin,,
80173,Assay of haloperidol,,
80175,Drug screen quan lamotrigine,,
80176,Assay of lidocaine,,
80177,Drug scrn quan levetiracetam,,
80178,Assay of lithium,,
80179,Drug assay salicylate,,
80180,Drug scrn quan mycophenolate,,
80181,Drug assay flecainide,,
80183,Drug scrn quant oxcarbazepin,,
80184,Assay of phenobarbital,,
80185,Assay of phenytoin total,,
80186,Assay of phenytoin free,,
80187,Drug assay posaconazole,,
80188,Assay of primidone,,
80189,Drug assay itraconazole,,
80190,Assay of procainamide,,
80192,Assay of procainamide,,
80193,Drug assay leflunomide,,
80194,Assay of quinidine,,
80195,Assay of sirolimus,,
80197,Assay of tacrolimus,,
80198,Assay of theophylline,,
80199,Drug screen quant tiagabine,,
80200,Assay of tobramycin,,
80201,Assay of topiramate,,
80202,Assay of vancomycin,,
80203,Drug screen quant zonisamide,,
80204,Drug assay methotrexate,,
80210,Drug assay rufinamide,,
80220,Drug asy hydroxychloroquine,,
80230,Drug assay infliximab,,
80235,Drug assay lacosamide,,
80280,Drug assay vedolizumab,,
80285,Drug assay voriconazole,,
80299,Quantitative assay drug,,
80305,Drug test prsmv dir opt obs,,
80306,Drug test prsmv instrmnt,,
80307,Drug test prsmv chem anlyzr,,
80320,Drug screen quantalcohols,,
80321,Alcohols biomarkers 1or 2,,
80322,Alcohols biomarkers 3/more,,
80323,Alkaloids nos,,
80324,Drug screen amphetamines 1/2,,
80325,Amphetamines 3or 4,,
80326,Amphetamines 5 or more,,
80327,Anabolic steroid 1 or 2,,
80328,Anabolic steroid 3 or more,,
80329,Analgesics non-opioid 1 or 2,,
80330,Analgesics non-opioid 3-5,,
80331,Analgesics non-opioid 6/more,,
80332,Antidepressants class 1 or 2,,
80333,Antidepressants class 3-5,,
80334,Antidepressants class 6/more,,
80335,Antidepressant tricyclic 1/2,,
80336,Antidepressant tricyclic 3-5,,
80337,Tricyclic & cyclicals 6/more,,
80338,Antidepressant not specified,,
80339,Antiepileptics nos 1-3,,
80340,Antiepileptics nos 4-6,,
80341,Antiepileptics nos 7/more,,
80342,Antipsychotics nos 1-3,,
80343,Antipsychotics nos 4-6,,
80344,Antipsychotics nos 7/more,,
80345,Drug screening barbiturates,,
80346,Benzodiazepines1-12,,
80347,Benzodiazepines 13 or more,,
80348,Drug screening buprenorphine,,
80349,Cannabinoids natural,,
80350,Cannabinoids synthetic 1-3,,
80351,Cannabinoids synthetic 4-6,,
80352,Cannabinoid synthetic 7/more,,
80353,Drug screening cocaine,,
80354,Drug screening fentanyl,,
80355,Gabapentin non-blood,,
80356,Heroin metabolite,,
80357,Ketamine and norketamine,,
80358,Drug screening methadone,,
80359,Methylenedioxyamphetamines,,
80360,Methylphenidate,,
80361,Opiates 1 or more,,
80362,Opioids & opiate analogs 1/2,,
80363,Opioids & opiate analogs 3/4,,
80364,Opioid &opiate analog 5/more,,
80365,Drug screening oxycodone,,
80366,Drug screening pregabalin,,
80367,Drug screening propoxyphene,,
80368,Sedative hypnotics,,
80369,Skeletal muscle relaxant 1/2,,
80370,Skel musc relaxant 3 or more,,
80371,Stimulants synthetic,,
80372,Drug screening tapentadol,,
80373,Drug screening tramadol,,
80374,Stereoisomer analysis,,
80375,Drug/substance nos 1-3,,
80376,Drug/substance nos 4-6,,
80377,Drug/substance nos 7/more,,
80400,Acth stimulation panel,,
80402,Acth stimulation panel,,
80406,Acth stimulation panel,,
80408,Aldosterone suppression eval,,
80410,Calcitonin stimul panel,,
80412,Crh stimulation panel,,
80414,Testosterone response panel,,
80415,Tot estradiol response panel,,
80416,Renin stimulation panel,,
80417,Renin stimulation panel,,
80418,Pituitary evaluation panel,,
80420,Dexamethasone panel,,
80422,Glucagon tolerance panel,,
80424,Glucagon tolerance panel,,
80426,Gonadotropin hormone panel,,
80428,Growth hormone panel,,
80430,Growth hormone panel,,
80432,Insulin suppression panel,,
80434,Insulin tolerance panel,,
80435,Insulin tolerance panel,,
80436,Metyrapone panel,,
80438,Trh stimulation panel,,
80439,Trh stimulation panel,,
80503,Path clin consltj sf 5-20,5671,$51.63 
80504,Path clin consltj mod 21-40,5672,$162.74 
80505,Path clin consltj high 41-60,5672,$162.74 
80506,Path clin consltj prolng svc,,
81000,Urinalysis nonauto w/scope,,
81001,Urinalysis auto w/scope,,
81002,Urinalysis nonauto w/o scope,,
81003,Urinalysis auto w/o scope,,
81005,Urinalysis,,
81007,Urine screen for bacteria,,
81015,Microscopic exam of urine,,
81020,Urinalysis glass test,,
81025,Urine pregnancy test,,
81050,Urinalysis volume measure,,
81099,Unlisted urinalysis px,,
81105,Hpa-1 genotyping,,
81106,Hpa-2 genotyping,,
81107,Hpa-3 genotyping,,
81108,Hpa-4 genotyping,,
81109,Hpa-5 genotyping,,
81110,Hpa-6 genotyping,,
81111,Hpa-9 genotyping,,
81112,Hpa-15 genotyping,,
81120,Idh1 common variants,,
81121,Idh2 common variants,,
81161,Dmd dup/delet analysis,,
81162,Brca1&2 gen full seq dup/del,,
81163,Brca1&2 gene full seq alys,,
81164,Brca1&2 gen ful dup/del alys,,
81165,Brca1 gene full seq alys,,
81166,Brca1 gene full dup/del alys,,
81167,Brca2 gene full dup/del alys,,
81168,Ccnd1/igh translocation alys,,
81170,Abl1 gene,,
81171,Aff2 gen aly detc abnl allel,,
81172,Aff2 gen alys charac alleles,,
81173,Ar gene full gene sequence,,
81174,Ar gene known famil variant,,
81175,Asxl1 full gene sequence,,
81176,Asxl1 gene target seq alys,,
81177,Atn1 gene detc abnor alleles,,
81178,Atxn1 gene detc abnor allele,,
81179,Atxn2 gene detc abnor allele,,
81180,Atxn3 gene detc abnor allele,,
81181,Atxn7 gene detc abnor allele,,
81182,Atxn8os gen detc abnor allel,,
81183,Atxn10 gene detc abnor allel,,
81184,Cacna1a gen detc abnor allel,,
81185,Cacna1a gene full gene seq,,
81186,Cacna1a gen known famil vrnt,,
81187,Cnbp gene detc abnor allele,,
81188,Cstb gene detc abnor allele,,
81189,Cstb gene full gene sequence,,
81190,Cstb gene known famil vrnt,,
81191,Ntrk1 translocation analysis,,
81192,Ntrk2 translocation analysis,,
81193,Ntrk3 translocation analysis,,
81194,Ntrk translocation analysis,,
81200,Aspa gene,,
81201,Apc gene full sequence,,
81202,Apc gene known fam variants,,
81203,Apc gene dup/delet variants,,
81204,Ar gene charac alleles,,
81205,Bckdhb gene,,
81206,Bcr/abl1 gene major bp,,
81207,Bcr/abl1 gene minor bp,,
81208,Bcr/abl1 gene other bp,,
81209,Blm gene,,
81210,Braf gene,,
81212,Brca1&2 185&5385&6174 vrnt,,
81215,Brca1 gene known famil vrnt,,
81216,Brca2 gene full seq alys,,
81217,Brca2 gene known famil vrnt,,
81218,Cebpa gene full sequence,,
81219,Calr gene com variants,,
81220,Cftr gene com variants,,
81221,Cftr gene known fam variants,,
81222,Cftr gene dup/delet variants,,
81223,Cftr gene full sequence,,
81224,Cftr gene intron poly t,,
81225,Cyp2c19 gene com variants,,
81226,Cyp2d6 gene com variants,,
81227,Cyp2c9 gene com variants,,
81228,Cytog alys chrml abnr cgh,,
81229,Cytog alys chrml abnr snpcgh,,
81230,Cyp3a4 gene common variants,,
81231,Cyp3a5 gene common variants,,
81232,Dpyd gene common variants,,
81233,Btk gene common variants,,
81234,Dmpk gene detc abnor allele,,
81235,Egfr gene com variants,,
81236,Ezh2 gene full gene sequence,,
81237,Ezh2 gene common variants,,
81238,F9 full gene sequence,,
81239,Dmpk gene charac alleles,,
81240,F2 gene,,
81241,F5 gene,,
81242,Fancc gene,,
81243,Fmr1 gen aly detc abnl allel,,
81244,Fmr1 gen alys charac alleles,,
81245,Flt3 gene,,
81246,Flt3 gene analysis,,
81247,G6pd gene alys cmn variant,,
